Material Number,Old Material Number,   ,UOM,Qty (Unrestricted),Image Link,Image Count,Has Image?
SM-FILTERS-000074,"SM002-3054A,SN471.010",MAIN TANK RECYCLE FILTER ( DA21340 ),EA,2,,,No
SM-GASKETS-000437,,GASKET ( 05010133 ) 300/06,EA,1,,,No
SM-MISLMECH-000387,SM016-9676A,COUPLING ( 1342963 ) GAMMA 75 HDS,EA,1,,,No
SM-MISLMECH-000493,SM016-7796A,FEMALEQUICKCONN.(1342841)THRE.-SELF LOCK,EA,1,,,No
SM-MISLMECH-001838,SM016-7997A,TRANSPORT BELT GUIDE-194CM ( AB22627 ),EA,2,,,No
SM-MISLMECH-001907,"SM016-3898A,SN304.025.2",DIAMOND GRID FOR POWDER INFEED SYSTEM(,EA,1,View Image,1,Yes
SM-MISLMECH-002280,SM016-7189A,LUNG BRIDGE TOOL ( ZW2110Z )  DURST,EA,1,,,No
SM-MISLMECH-002425,SM016-7188A,PLASTIC HOSE SILICON ( 1460180 )  DURST,M,4,,,No
SM-MISLMECH-003905,SM016-7797A,FEMALE QUICK CONN./TUBE-OPEN ( 1342842 ),EA,1,,,No
SM-MISLMECH-006487,SM001-4057A,FLAT CONVEYOR ( 01060000 ) 1320X9400X3MM,EA,1,View Image,1,Yes
SM-VALVES-000153,SE020-4442A,MagneticValve 2/2 Way 24VDC  DURST,EA,1,,,No
SM-WHEELS-000036,SM016-7794A,FRICTION WHEEL G75HDS ( AQ31517 ),EA,1,,,No
SM-WHEELS-000111,"SM013-3544A,SN630.014",WHEEL ( 13000097 ),EA,74,View Image,1,Yes
SM-MISLMECH-005822,SM010-3224A,"PIPE (06600471)POS-56,TAB 4202 POWD.HOSE",M,21.3,View Image,1,Yes
SE-LPGACCES-000038,,REDUCTION UNIT GAS REGULATOR( 05663052 ),EA,1,View Image,1,Yes
SE-MISELECT-000410,SE020-4475A,LEVEL DETECTOR,EA,1,,,No
SE-MISELECT-001307,SE009-3302A,CABLE SUPPORT CHAIN ( 2.004.0116 ),EA,1,View Image,1,Yes
SE-MISELECT-001540,SE020-4474A,"MELER TYPE MICRON 5 , OUTPUT:4,230/400V",EA,1,View Image,1,Yes
SE-MOTORS -000018,SE019-3135A,MOTOR ( 03017004 ),EA,1,,,No
SE-MOTORS -000213,SE011-3048A,"MOTOR FAN ET 560 400V,50HZ ( MEX0057 )",EA,2,View Image,1,Yes
SE-MOTORS -000214,SE011-3049A,"MOTOR FAN 400/50 ( TAV 4 , POS 1 )",EA,1,View Image,1,Yes
SE-MOTORS-000406,,MOTOR(YL100L4B52.2KW)1.02.01.01.023,EA,2,,,No
SE-MOTORS-000407,,MOTOR(YL100L4B53KW)1.02.01.01.024,EA,1,View Image,1,Yes
SE-MOTORS-000419,,MOTOR 5.5KW/2930RPM/400VAC FLANGE TYPE,EA,1,,,No
SM-AUTOSP-000346,SM016-9741A,HALF-COUPLING ( 03101572 ),EA,2,View Image,1,Yes
SM-CHAINS-000098,SM006-3283A,ROLLER CHAIN BOBIN 12B-1RX33M,M,66,,,No
SM-CHAINS-000102,"SM006-3192A,SN700.882","STACKER CHAIN 11( CMA+0000406 )TAV04,PO",M,55,View Image,1,Yes
SM-CHAINS-000125,SM021-4068A,THREE CHAIN ( 09030031 ),EA,30,,,No
SM-GEARMOTOR-000019,SM008-3033A,GEAR MOTOR ( 15003804 ),EA,1,View Image,1,Yes
SM-MISLMECH-000327,SM021-3824A,COMPLETE CASING ( 13017937 ) POS 3,EA,2,View Image,1,Yes
SM-MISLMECH-000446,"SM016-3292A,SN101.388","DISK (MTD34003157) PAGE 1222.007, POS 42",EA,1,,,No
SM-MISLMECH-001176,SM021-4095A,REDUCER ( 9111905715 ) MRIV 80 I=102,EA,1,View Image,1,Yes
SM-MISLMECH-001178,SM021-4016A,REDUCER ( AMF 1 80/3 ),EA,2,View Image,1,Yes
SM-MISLMECH-001243,"SM016-5735A,SN630.104",REDUCTION UNIT ( 15002320 ),EA,1,View Image,1,Yes
SM-MISLMECH-001247,SM021-3628A,REDUCTION UNIT ( 15007413 ) POS 9,EA,1,View Image,1,Yes
SM-MISLMECH-002895,SM016-9090A,SILICON CARBIDE BLOWER( FM-250-D7-0011 ),EA,1,,,No
SM-MISLMECH-002930,SM021-3577A,SMALL ALLUMINIUM CLAMP(16X16BELT SUP.BAR,EA,137,,,No
SM-MISLMECH-005207,SM010-3232A,ELECTRIC PUMP 05603395 FIG 101 PH2090B,EA,1,View Image,1,Yes
SM-MISLMECH-005788,SM006-3407A,nine chain(A)close chain 09030033  CHINA,EA,82,,,No
SM-MISLMECH-005789,SM006-3408A,nine chain (B) open chain 09030033 CHINA,EA,21,,,No
SM-MISLMECH-006008,SM016-5717A,COMPLETE CASING ( 13002143 ),EA,1,View Image,1,Yes
SM-MISLMECH-006133,SM016-6639A,SLEEVE ( OH3060H ) FOR BALL MILL MTD 34,EA,2,View Image,1,Yes
SM-MISLMECH-006185,SM021-4422A,REGISTOR ( 13010218 ) POS 9,EA,1,View Image,1,Yes
SM-MISLMECH-006451,,Reducer ( C9111905715 ) PLT 700/7,EA,1,View Image,1,Yes
SM-MISLMECH-006599,,REDUCER ( 01042975 ) JXJ1-29-0.75KW G/L3,EA,2,View Image,1,Yes
SM-MISLMECH-007011,,MOSAIC SUCTION PANEL 48x48mm,EA,1,View Image,1,Yes
SM-MISLMECH-007012,,MOSAIC TRANSLATIONALSUCTION PLATE48x48mm,EA,1,View Image,1,Yes
SM-MISLMECH-007029,,DRIVE UNIT+REDUCER (G0103.06.01.01)600/6,EA,2,,,No
SM-MISLMECH-007154,,CERAMIC PISTON ( P2401909 ) W/T,EA,2,View Image,1,Yes
SM-PULLEY-000018,SM005-3812A,"FIXED PULLEY B 170 ( O.D 180MM,I.D 45MM",EA,25,,,No
SM-PULLEY-000019,SM005-3813A,"FIXED PULLEY C 170 ( O.D 180MM,I.D 45MM",EA,18,View Image,1,Yes
SM-PULLEY-000041,SM005-3730A,FIXED  PULLEY 1C 230     BORE 50MM,EA,14,,,No
SM-PULLEY-000042,SM005-3729A,FIXED  PULLEY 1C 250     BORE 50MM,EA,7,View Image,1,Yes
SM-PULLEY-000049,"SM005-3138A,SN400.002.2",FIXED PULLEY 1C 250 - BORE 35MM,EA,37,View Image,1,Yes
SM-PULLEY-000054,SM005-3620A,FIXED PULLEY B250 ( BORE 50 MM ),EA,8,,,No
SM-PULLEY-000056,"SM005-3167A,SN400.066.2",FIXED PULLEY C 250(BORE 35MM)1050775 MGR,EA,4,,,No
SM-PULLEY-000058,"SM005-3180A,SN400.105.2",FIXED PULLEY C250 - BORE 30MM,EA,37,,,No
SM-PULLEY-000079,SM005-3632A,IDLE PULLEY 1C-250(2PU1C25011C)TAV1102.2,EA,12,View Image,1,Yes
SM-PULLEY-000083,"SM005-3155A,SN400.045.2",IDLE PULLEY C 230 WITH BEARING,EA,6,,,No
SM-PULLEY-000149,SM005-3637A,"PULLEY ( 8PU1C25050 )TAV 1102.2 , POS 10",EA,5,,,No
SM-PULLEY-000297,SM005-3721A,"FIXED PULLEY B 250MM , BORE 40MM",EA,2,,,No
SM-PULLEY-000331,SM005-3722A,"IDLE PULLEY B 250MM,BORE 80MM,WITH RB208",EA,44,,,No
SM-PULLEYS-000826,CHINA,"FIXED PULLEY C 236MM , BORE 40MM 400/1,2",EA,1,,,No
SM-PUMPS-000066,"SM010-3349A,SN613.325",VACUUM PUMP ( 640400A0001 ),EA,2,View Image,1,Yes
SM-PUMPS-000098,,"WATER PUMP 1.1 KW , M140/3, 400V, 1.5""",EA,1,,,No
SM-ROLLERS-000166,"SM013-3272A,SN470.013","ROLLER (D505101524 )TAV 02,POS 03 INKJET",EA,1,,,No
SM-SHAFT-000012,SM021-4485A,IRON SHAFT FOR 60X95MM HEXAGON,EA,110,View Image,1,Yes
SM-SHAFT-000320,SM021-4114A,IRON SHAFT FOR 51X59MM HEXAGON,EA,73,View Image,1,Yes
SM-BELT-000004,SM001-3895A,BELT  3H 8V 4500        ALASHA MAX POWER,EA,4,,,No
SM-BELT-000005,SM001-3812A,BELT  4H 8V 4500        ALASHA MAX POWER,EA,3,View Image,1,Yes
SM-BELT-000007,"SM001-3689A,SN101.446",BELT  SPB 4250 LB,EA,5,,,No
SM-BELT-000040,"SM001-3630A,SN630.049","BELT (15000744) TAV 12GR0017 3.0, POS 11",EA,2,,,No
SM-BELT-000053,"SM001-3321A,SN101.390",BELT KIT 5V 1800 S(02051037)01SET=26 PCS,EA,1,View Image,1,Yes
SM-BELT-000070,SM001-4064A,C5200 BELT ( 03065200 ),EA,6,,,No
SM-BELT-000071,SM001-4060A,C6000 MESH UPPERSUPPORT BELT( 03066000 ),EA,4,,,No
SM-BELT-000072,SM001-4063A,C6100 BELT ( 03066100 ),EA,2,,,No
SM-BELT-000086,"SM001-3256A,SC220.504",CRESTED BELT B 210 ( U230952450 ),EA,27,,,No
SM-BELT-000087,"SM001-3254A,SC220.503",CRESTED BELT B 225 ( U230952454 ),EA,26,,,No
SM-BELT-000088,"SM001-3250A,SC220.501",CRESTED BELT B 56/55,EA,11,,,No
SM-BELT-000161,SM001-3916A,BELT ( 15009741 )  PJ 1143,EA,4,,,No
SM-BELT-000176,SM001-3946A,GEAR BELT ( 15007973 ),EA,2,View Image,1,Yes
SM-BELT-000183,SM001-3953A,BELT 3VX 560 ( 15003654 ) POS 7,EA,94,,,No
SM-BELT-000192,SM001-3865A,BELT RIP TYPE  PJ 1150,EA,8,,,No
SM-BELT-000228,"SM001-3633A,SN630.068",TIMING BELT 1150H ( DOUBLE SIDE TOOTH ),EA,1,,,No
SM-BELT-000264,"SM001-3629A,SN630.041",TOOTH BELT 900DH ( WIDTH 25MM ),EA,3,,,No
SM-BELT-000265,"SM001-3628A,SN630.040",TOOTH BELT 900DH ( WIDTH 50MM ),EA,1,,,No
SM-BELT-000266,"SM001-3631A,SN630.063",TOOTH BELT 900H(15004298)TAV12AS0024 2.0,EA,2,,,No
SM-BELT-000293,SM001-3779A,V BELT  5V 2120              ZO1,EA,19,,,No
SM-BELT-000299,"SM001-3286A,SC220.906",V BELT  Z 33 ( 10X840LI ),EA,4,,,No
SM-BELT-000303,"SM001-3319A,SN101.345",V BELT 5V 1060,EA,10,,,No
SM-BELT-000304,"SM001-3716A,SN101.457",V BELT 5V 960 = SPB 2430   Ball mill 02,EA,8,,,No
SM-BELT-000305,"SM001-3011A,SC220.010.2",V BELT A 120,EA,2,,,No
SM-BELT-000308,"SM001-3025A,SC220.023",V BELT A 29,EA,2,,,No
SM-BELT-000310,"SM001-3026A,SC220.024",V BELT A 32,EA,2,,,No
SM-BELT-000311,"SM001-3000A,SC220.001",V BELT A 33,EA,1,,,No
SM-BELT-000312,"SM001-3029A,SC220.027",V BELT A 34,EA,5,,,No
SM-BELT-000313,"SM001-3020A,SC220.019",V BELT A 36,EA,1,,,No
SM-BELT-000314,SM001-3874A,"V BELT A 36  (8CIA0036)TAV 292.2/C,POS05",EA,3,,,No
SM-BELT-000315,"SM001-3028A,SC220.026",V BELT A 37,EA,2,,,No
SM-BELT-000316,"SM001-3015A,SC220.014",V BELT A 39,EA,5,,,No
SM-BELT-000317,"SM001-3002A,SC220.002",V BELT A 42,EA,6,,,No
SM-BELT-000320,"SM001-3023A,SC220.021A",V BELT A 46,EA,6,,,No
SM-BELT-000321,"SM001-3004A,SC220.004",V BELT A 48,EA,2,,,No
SM-BELT-000323,"SM001-3005A,SC220.005",V BELT A 52,EA,6,,,No
SM-BELT-000324,"SM001-3024A,SC220.022",V BELT A 53,EA,3,,,No
SM-BELT-000325,"SM001-3006A,SC220.006",V BELT A 57,EA,17,,,No
SM-BELT-000326,"SM001-3007A,SC220.007",V BELT A 60,EA,7,,,No
SM-BELT-000327,"SM001-3012A,SC220.011",V BELT A 62,EA,8,,,No
SM-BELT-000328,"SM001-3016A,SC220.015",V BELT A 72,EA,2,,,No
SM-BELT-000329,"SM001-3008A,SC220.008",V BELT A 74,EA,2,,,No
SM-BELT-000330,"SM001-3013A,SC220.012",V BELT A 79,EA,2,,,No
SM-BELT-000331,"SM001-3014A,SC220.013",V BELT A 80,EA,3,,,No
SM-BELT-000332,"SM001-3017A,SC220.016",V BELT A 84,EA,1,,,No
SM-BELT-000333,"SM001-3009A,SC220.009",V BELT A 90,EA,3,,,No
SM-BELT-000372,"SM001-3145A,SC220.176",V BELT B 200,EA,2,,,No
SM-BELT-000373,"SM001-3149A,SC220.180",V BELT B 204,EA,2,,,No
SM-BELT-000374,"SM001-3110A,SC220.144",V BELT B 210,EA,5,,,No
SM-BELT-000375,"SM001-3156A,SC220.187",V BELT B 212,EA,6,,,No
SM-BELT-000376,"SM001-3135A,SC220.166",V BELT B 220,EA,10,,,No
SM-BELT-000377,"SM001-3112A,SC220.145",V BELT B 225,EA,4,,,No
SM-BELT-000378,"SM001-3040A,SC220.105.2",V BELT B 229,EA,2,,,No
SM-BELT-000379,"SM001-3092A,SC220.134.2",V BELT B 230,EA,3,,,No
SM-BELT-000380,SM001-3948A,V BELT B 232,EA,6,,,No
SM-BELT-000381,SM001-3988A,V BELT B 240,EA,2,,,No
SM-BELT-000382,"SM001-3102A,SC220.139.2",V BELT B 248,EA,2,,,No
SM-BELT-000384,SM001-4000A,V BELT B 265 ( NB265 ) 700/6,EA,3,,,No
SM-BELT-000386,"SM001-3245A,SC220.303",V BELT B 270,EA,4,,,No
SM-BELT-000387,"SM001-3157A,SC220.188",V BELT B 274,EA,1,,,No
SM-BELT-000388,"SM001-3148A,SC220.179",V BELT B 276,EA,5,,,No
SM-BELT-000389,"SM001-3104A,SC220.140.2",V BELT B 285,EA,8,,,No
SM-BELT-000390,SM001-4076A,V BELT B 298,EA,4,,,No
SM-BELT-000391,SM001-3867A,V BELT B 300,EA,9,,,No
SM-BELT-000392,SM001-3942A,"V BELT B 300 ( PM361-0019 )TAV 2.1, P 23",EA,2,,,No
SM-BELT-000394,"SM001-3106A,SC220.141.2",V BELT B 330,EA,6,,,No
SM-BELT-000395,SM001-3990A,V BELT B 335,EA,11,,,No
SM-BELT-000484,"SM001-3213A,SC220.236.2",V BELT C 200 ( 05065100 )  C5100,EA,4,,,No
SM-BELT-000485,"SM001-3192A,SC220.214.2",V BELT C 204,EA,4,,,No
SM-BELT-000486,SM001-3869A,V BELT C 208,EA,4,,,No
SM-BELT-000487,"SM001-3214A,SC220.237.2",V BELT C 212,EA,2,,,No
SM-BELT-000488,"SM001-3212A,SC220.235.2",V BELT C 216,EA,1,,,No
SM-BELT-000490,"SM001-3193A,SC220.215.2",V BELT C 222,EA,4,,,No
SM-BELT-000491,SM001-3967A,V BELT C 224 ( 03065700 ) C5700,EA,6,,,No
SM-BELT-000492,"SM001-3179A,SC220.208",V BELT C 225,EA,4,,,No
SM-BELT-000493,SM001-3970A,V BELT C 226,EA,4,,,No
SM-BELT-000494,"SM001-3177A,SC220.207",V BELT C 228,EA,2,,,No
SM-BELT-000495,"SM001-3215A,SC220.238.2",V BELT C 230 ( 03065900 )  C5900,EA,11,,,No
SM-BELT-000497,"SM001-3204A,SC220.227.2",V BELT C 238,EA,4,,,No
SM-BELT-000499,SM001-4020A,V BELT C 247,EA,4,,,No
SM-BELT-000500,SM001-3856A,V BELT C 255,EA,3,,,No
SM-BELT-000501,SM001-3964A,V BELT C 258,EA,4,,,No
SM-BELT-000502,"SM001-3241A,SC220.263",V BELT C 260,EA,2,,,No
SM-BELT-000503,"SM001-3195A,SC220.217.2",V BELT C 261,EA,4,,,No
SM-BELT-000504,SM001-4086A,V BELT C 264            C6700,EA,4,,,No
SM-BELT-000505,"SM001-3199A,SC220.222.2",V BELT C 265,EA,2,,,No
SM-BELT-000506,"SM001-3233A,SC220.256",V BELT C 270,EA,4,,,No
SM-BELT-000507,"SM001-3211A,SC220.234.2",V BELT C 273,EA,4,,,No
SM-BELT-000508,SM001-3968A,V BELT C 274,EA,4,,,No
SM-BELT-000509,"SM001-3216A,SC220.239.2",V BELT C 275,EA,5,,,No
SM-BELT-000510,"SM001-3700,SC220.313",V BELT C 280,EA,2,,,No
SM-BELT-000511,"SM001-3207A,SC220.230.2",V BELT C 284,EA,16,,,No
SM-BELT-000512,"SM001-3699,SC220.312",V BELT C 285,EA,3,,,No
SM-BELT-000513,SM001-3966A,V BELT C 286,EA,4,,,No
SM-BELT-000514,"SM001-3239A,SC220.261",V BELT C 297,EA,7,,,No
SM-BELT-000515,"SM001-3240A,SC220.262",V BELT C 300,EA,2,,,No
SM-BELT-000516,SM001-3961A,V BELT C 302,EA,4,,,No
SM-BELT-000517,"SM001-3196A,SC220.218.2",V BELT C 303 ( MEC ),EA,3,,,No
SM-BELT-000518,SM001-3972A,V BELT C 306,EA,4,,,No
SM-BELT-000519,SM001-3965A,V BELT C 328,EA,4,,,No
SM-BELT-000524,SM001-4075A,V BELT C 360,EA,8,View Image,1,Yes
SM-BELT-000546,"SM001-3243A,SC220.301",V BELT D 255,EA,13,View Image,1,Yes
SM-BELT-000549,"SM001-3249A,SC220.401",V BELT E 441,EA,17,View Image,1,Yes
SM-BELT-000552,"SM001-3320A,SN101.386",V BELT SPB 2500,EA,5,,,No
SM-BELT-000565,"SM001-3159A,SC220.190",V BELT Z 38 1/4  ( 10 X 975 MM ),EA,2,,,No
SM-BELT-000566,"SM001-3160A,SC220.191",V BELT Z 40 1/2(10X1030 MM)(A1100405100),EA,3,,,No
SM-BELT-000663,SM001-4059A,TRANSMISSION BELT ( 15009741 ),EA,2,,,No
SM-BELT-000669,SM001-4019A,TWIN POWER TOOTH BELT 420L,EA,2,,,No
SM-BELT-000683,SM001-4023A,V BELT B 222,EA,2,,,No
SM-BELT-000684,SM001-3831A,V BELT B 225 ( 3406ME1400 ),EA,12,,,No
SM-BELT-000685,SM001-3997A,V BELT B 228,EA,4,,,No
SM-BELT-000686,SM001-3991A,V BELT B 237,EA,2,,,No
SM-BELT-000688,SM001-3992A,V BELT B 255,EA,4,,,No
SM-BELT-000694,SM001-3919A,V BELT RECMF 8460 - SAME WITH XB 46,EA,14,,,No
SM-BELT-000717,"SM001-3170A,SC220.203.2",V BELT C 210,EA,4,,,No
SM-BELT-000718,"SM001-3194A,SC220.216.2",V BELT C 250,EA,8,,,No
SM-BELT-000719,SM001-3994A,V BELT C 250,EA,1,,,No
SM-BELT-001102,SM001-4123A,V BELT  C5700,EA,6,,,No
SM-BELT-001105,"SM016-3214A,SN101.019",KIT ( 2051024 ) 5V 2120    SET 01=25 PCS,PAC,1,View Image,1,Yes
SM-REPAIRKIT-000066,"SM016-3296A,SN101.399",KIT ( 02051024 ) 5V 2120  25PCS,EA,1,View Image,1,Yes
SM-AUTOSP-000016,"SM015-3047A,SN810.001",SAND INJECTION TUBE,EA,11,View Image (1 of 2),2,Yes
SM-BEARING-000702,SM007-4204A,THRUST BEARING ( E01D4-12271 ),EA,2,,,No
SM-BEARING-001095,,HELI 5T BEARING ( Z-30214 ),EA,2,,,No
SM-BEARING-001097,,HELI 5T BEARING ( E01D4-1221A ),EA,2,,,No
SM-BEARING-001098,,HELI 5T BEARING ( Z-GE25ES ),EA,4,,,No
SM-BEARING-001099,,HELI 5T BEARING ( Z-30219 ),EA,2,,,No
SM-BUSHINGS-000091,"SM017-3171A,SN810.038",GUIDE BUSHING ( 10042 ) POS 21,EA,2,,,No
SM-FILTERS-000058,"SM002-3138A,SN810.004",FILTER CORE ( 5MIU ),EA,16,,,No
SM-HYDRAULIC-000008,SM016-9906A,HIGH PRESSURE UNION,EA,2,,,No
SM-HYDRAULIC-000013,"SM012-3059A,SN810.039",SEAL - HYDRAULIC ( P7015 ) POS 22,EA,2,,,No
SM-MISLMECH-000315,"SM016-3410A,SN109.061","CLOTH-MESH 2190- W.DIA 0,09MM-  HOLE 12",M2,10.02,,,No
SM-MISLMECH-000373,"SM016-3802C,SN810.009",CONNECTOR,EA,3,,,No
SM-MISLMECH-000701,SM016-9726A,HIGH PRESSURE CONNECT PIPE,EA,2,,,No
SM-MISLMECH-000702,"SM016-6251A,SN810.005",HIGH PRESSURE OIL SEA,EA,2,,,No
SM-MISLMECH-000705,SM016-9822A,HIGH PRESSURE PIPE CONNECTOR,EA,3,,,No
SM-MISLMECH-000743,"SM016-6260A,SN810.045",INDUCTION HANDSPIKE ( ZYQ-00013A ),EA,2,,,No
SM-MISLMECH-000747,"SM016-6252A,SN810.008",INJECTING HEAD,EA,1,,,No
SM-MISLMECH-000831,"SM016-6255A,SN810.014",LOCKER,EA,9,,,No
SM-MISLMECH-001141,SM016-9691A,"Pressure pipe 660*9mm, with - WATER JET",EA,2,,,No
SM-MISLMECH-001346,"SM016-6254A,SN810.013",SAND COVER,EA,9,,,No
SM-MISLMECH-001347,"SM010-3395A,SN810.007",SAND INLET PIPE,EA,9,,,No
SM-MISLMECH-001571,"SM004-4215A,SN810.040",SPACER - SEAL ( 10043 ) POS 23,EA,2,,,No
SM-MISLMECH-001642,SM016-9648A,SPRING  - WATER JET,EA,11,,,No
SM-MISLMECH-001894,"SM016-6854A,SN810.018",WATER SWITCH BODY ( POS  B ) BOLCK,EA,1,,,No
SM-MISLMECH-006977,,HELI 5T NUT ( B4735-00080 ),EA,2,,,No
SM-MISLMECH-006978,,HELI 5T SHIM ( AE013-02051 ),EA,20,,,No
SM-MISLMECH-006980,,HELI 5T NUT ( E01D4--12191B ),EA,10,,,No
SM-MISLMECH-006981,,HELI 5T NUT ( B4233-00020 ),EA,10,,,No
SM-MISLMECH-006982,,HELI 5T WASHER ( B5512-00080 ),EA,2,,,No
SM-MISLMECH-006983,,HELI 5T KNUCKLE R.H ASS'Y( E01D4-10401 ),EA,1,,,No
SM-MISLMECH-006985,,HELI 5T KNUCKLE L.H ASS'Y( E01D4-10201 ),EA,1,,,No
SM-MISLMECH-006986,,HELI 5T NOZZEL ( Q701B90 ),EA,1,,,No
SM-MISLMECH-006989,,HELI 5T HUB ( E01D4-12171Z ),EA,2,,,No
SM-MISLMECH-006990,,HELI 5T BOLT ( 24354-42301B ),EA,34,,,No
SM-MISLMECH-006991,,HELI 5T CAP ( 22654-32281 ),EA,2,,,No
SM-MISLMECH-006992,,HELI 5T SHIM ( E01D4-12221 ),EA,20,,,No
SM-MISLMECH-006995,,HELI 5T LINK ( E01D4-12311 ),EA,2,,,No
SM-MISLMECH-007419,,HELI 5T WHEEL CYLINDER ASS'Y ( HRA01C3-7,EA,2,,,No
SM-OILSEAL-000211,"SM004-4212A,SN810.035",O-RING  ( P2021 ) POS 18,EA,1,,,No
SM-OILSEAL-000215,"SM004-4214A,SN810.037",O-RING ( P2002 ) POS 20,EA,1,,,No
SM-OILSEAL-000556,,HELI 5T OIL SEAL ( E01D4-12231 ),EA,2,,,No
SM-OILSEAL-000558,,"HELI 5T SEAL,OIL ( Z6351-01104 )",EA,2,,,No
SM-ORING-000046,"SM004-4216A,SN810.041",RING - SNAP ( P1062 ) POS 24,EA,2,,,No
SM-ORING-000084,"SM004-4213A,SN810.036","RING-B/U,O-RING ( P8001 ) POS 19",EA,1,,,No
SM-PUMPS-000036,SM016-7066A,WATER PUMP OF WATER JET ( PROCON ),EA,1,,,No
SM-REPAIRKIT-000005,"SM009-3008B,SN810.012",REPAIR KIT,EA,1,,,No
SM-REPAIRKIT-000063,"SM016-6853A,SN810.015",WATER SWITCH SEAL KIT,EA,13,,,No
SM-VALVES-000035,SM011-3091A,OVERFLOW VALVE ( ZYQ-009 2 A ),EA,1,,,No
SM-VALVES-000036,SM011-3081A,PILOT VALVE + SPOOL VALVE ( ZYQ-009 1 A),EA,1,,,No
SM-VALVES-000080,"SM011-3420A,SN810.011",WATER INLET VALVE,EA,2,,,No
SE-MISELECT-001599,,PLUG ( D20B8-42341 ) HELI 5T,EA,2,,,No
SM-BEARING-001074,,END ROLLER ( CG92310T-00 ) 123D HELI 5T,EA,4,,,No
SM-BEARING-001075,,SIDE ROLLER ( CN-26-00 ) HELI 5T,EA,4,,,No
SM-BUSHINGS-000331,,BUSHING ( DD058-02011 ) J MAST HELI 5T,EA,2,,,No
SM-BUSHINGS-000332,,BUSHING (Z2114-05050 )  HELI 5T,EA,2,,,No
SM-BUSHINGS-000333,,BUSHING ( D01D8-42021A )  HELI 5T,EA,2,,,No
SM-BUSHINGS-000334,,WEARING ( D01D8-42041 ) 63X58X20 HELI 5T,EA,2,,,No
SM-BUSHINGS-000335,,BUSHING ( GCQ055DL4-07 ) HELI 5T,EA,2,,,No
SM-BUSHINGS-000336,,J TILT  BUSHING ( Z2113-04530 ) HELI 5T,EA,2,,,No
SM-FILTERS-000242,,OIL SUCTION FILTER( H3A17-60381)HELI 5T,EA,1,,,No
SM-MISLMECH-001334,"SM016-4581A,SN400.082",S / S  MESH 150 MICRON- WIDTH 100CM,M,1,,,No
SM-MISLMECH-001339,"SM016-4587A,SN400.085",S/S MESH 30 MICRON - WIDTH 90 CM,M,1.5,,,No
SM-MISLMECH-002300,"SM016-4910A,SN400.146",MESH-(SS)150#   ( ROCELL ),EA,1.25,,,No
SM-MISLMECH-002325,"SM016-5042A,SN510.007",NET AISI 304 NO. 150 DF 0.060H 1300 ( 4,M2,9.13,,,No
SM-MISLMECH-006476,,ORBITROL ( H3F14-12061 ) HELI,EA,1,,,No
SM-MISLMECH-006477,,AIR FILTER ( H3QA1-00501X-1 ) HELI,EA,1,,,No
SM-MISLMECH-006824,,CABLE L.H ( FHA01C3712-92L ) HELI 5T,EA,1,,,No
SM-MISLMECH-006825,,CABLE R.H ( FHA01C3712-92R ) HELI 5T,EA,1,,,No
SM-MISLMECH-006827,,CHAIN ASSY ( HRLH1644011N /73 ) HELI 5T,EA,2,,,No
SM-MISLMECH-006829,,PLUG   BRAKE ASS'Y (24433-76070G)HELI 5T,EA,2,,,No
SM-MISLMECH-006833,,S/S CARDAN JOINT ( H24C4-10301 )HELI 5T,EA,2,,,No
SM-MISLMECH-006836,,J/T CYL CATCH(D28B8-42611)45X55X6 HELI5T,EA,2,,,No
SM-MISLMECH-006837,,J/T CYL  CATCH(D01D8-52021-Y) HELI 5T,EA,2,,,No
SM-MISLMECH-006838,,J/T CYL  CATCH ( D01D8-52111-Y ) HELI5T,EA,2,,,No
SM-MISLMECH-006842,,CAP  BRAKE ASS'Y ( 24433-76100G )HELI 5T,EA,2,,,No
SM-MISLMECH-006843,,BOLT  BRAKE ASS'Y (24433-76090G)HELI 5T,EA,2,,,No
SM-MISLMECH-006846,,REARWHEEL WASHERLOCK(B5050-00016)HELI5T,EA,2,,,No
SM-OILSEAL-000550,,U-RING SEAL (D01D8-40201) HELI 5T,EA,2,,,No
SM-OILSEAL-000551,,SEAL J/L/C/M ( D01D8-42011 ) HELI 5T,EA,2,,,No
SM-OILSEAL-000552,,O-RING SEAL ( Z6053-07753 )   HELI 5T,EA,2,,,No
SM-OILSEAL-000553,,RING SEAL ( 23678-55001 )70X60X6 HELI 5T,EA,2,,,No
SM-OILSEAL-000554,,J/T CYL DUST SEAL( 24459-42271 ) HELI 5T,EA,2,,,No
SM-ORING-000407,,SNAP RING ( B6152-00050 ) HELI 5T,EA,4,,,No
SM-ORING-000409,,RING.BACK UP ( D01D8-42051  ) HELI 5T,EA,2,,,No
SM-ORING-000410,,SNAP RING ( GCQ055DL4-08 ) HELI 5T,EA,2,,,No
SM-ORING-000411,,SNAP RING ( B6150-00050 ) 50 HELI 5T,EA,2,,,No
SM-ORING-000412,,J/T CYL SNAP RING( D30K8-54012 )HELI 5T,EA,2,,,No
SM-ORING-000413,,J/T CYL O-RING ( Z6053-08253 )  HELI 5T,EA,2,,,No
SM-ORING-000415,,J/T CYL WEARING (73720-43208 )  HELI 5T,EA,2,,,No
SM-ORING-000416,,J/T CYL O-RING ( Z6053-04473 ) HELI 5T,EA,2,,,No
